,Date,Forecast
199,2021-02-28,53217.46
200,2021-03-01,51886.348
201,2021-03-02,49747.027
202,2021-03-03,48121.277
203,2021-03-04,47742.324
204,2021-03-05,47154.94
205,2021-03-06,47299.68
206,2021-03-07,47749.0
207,2021-03-08,48347.867
208,2021-03-09,49357.844
209,2021-03-10,49347.01
210,2021-03-11,49803.77
211,2021-03-12,49919.758
212,2021-03-13,50804.508
213,2021-03-14,51904.062
214,2021-03-15,53362.277
215,2021-03-16,54573.07
216,2021-03-17,55732.992
217,2021-03-18,56412.62
218,2021-03-19,56898.113
219,2021-03-20,56993.414
220,2021-03-21,57193.668
221,2021-03-22,56460.17
222,2021-03-23,56107.96
223,2021-03-24,56503.68
224,2021-03-25,56654.516
225,2021-03-26,56194.184
226,2021-03-27,55761.848
227,2021-03-28,55043.87
228,2021-03-29,54187.996
229,2021-03-30,53428.64
230,2021-03-31,53420.027
231,2021-04-01,53494.574
232,2021-04-02,54226.242
233,2021-04-03,55432.016
234,2021-04-04,56016.953
235,2021-04-05,56510.684
236,2021-04-06,57095.227
237,2021-04-07,57324.44
238,2021-04-08,57288.992
239,2021-04-09,57198.094
240,2021-04-10,57024.2
241,2021-04-11,56741.64
242,2021-04-12,56870.797
243,2021-04-13,56772.38
244,2021-04-14,56640.227
245,2021-04-15,56822.246
246,2021-04-16,57669.918
247,2021-04-17,58189.38
248,2021-04-18,58863.254
249,2021-04-19,59285.6
250,2021-04-20,59596.277
251,2021-04-21,59880.78
252,2021-04-22,59200.117
253,2021-04-23,58306.98
254,2021-04-24,57003.965
255,2021-04-25,55710.938
256,2021-04-26,54248.652
257,2021-04-27,53519.082
258,2021-04-28,52729.85
259,2021-04-29,51644.07
260,2021-04-30,51164.72
261,2021-05-01,51285.887
262,2021-05-02,51762.582
263,2021-05-03,52734.836
264,2021-05-04,54193.543
265,2021-05-05,54624.273
266,2021-05-06,54852.734
267,2021-05-07,55187.824
268,2021-05-08,55872.773
269,2021-05-09,55598.668
270,2021-05-10,55304.98
271,2021-05-11,55326.176
272,2021-05-12,55241.227
273,2021-05-13,56119.402
274,2021-05-14,55963.285
275,2021-05-15,55847.965
276,2021-05-16,55254.316
277,2021-05-17,53935.797
278,2021-05-18,52302.14
279,2021-05-19,50769.83
280,2021-05-20,48544.76
281,2021-05-21,47735.523
282,2021-05-22,46385.94
283,2021-05-23,44515.945
284,2021-05-24,43032.465
285,2021-05-25,41194.848
286,2021-05-26,39847.477
287,2021-05-27,38479.973
288,2021-05-28,38709.805
289,2021-05-29,37892.12
290,2021-05-30,38000.203
291,2021-05-31,37986.08
292,2021-06-01,38688.945
293,2021-06-02,38239.62
294,2021-06-03,37779.41
295,2021-06-04,37010.734
296,2021-06-05,36501.168
297,2021-06-06,36818.324
298,2021-06-07,37494.273
299,2021-06-08,37890.04
300,2021-06-09,37729.41
301,2021-06-10,37598.47
302,2021-06-11,37128.098
303,2021-06-12,36116.79
304,2021-06-13,35742.395
305,2021-06-14,35775.215
306,2021-06-15,35836.883
307,2021-06-16,36740.164
308,2021-06-17,37905.273
309,2021-06-18,38136.062
310,2021-06-19,38625.56
311,2021-06-20,38943.207
312,2021-06-21,39709.14
313,2021-06-22,39380.21
314,2021-06-23,38463.887
315,2021-06-24,37180.945
